编号,状态,优先级,系列,题目,重复风险/改写判断,写作技法,真实痛点/需求/待办,产品/平台入口,下一步动作,正文链接
120,已成稿,B,AI内容生态,为什么 AI 热点发生 14 天后，全网会变成同一篇文章？同质化不是慢慢发生，而是瞬间收敛,低：资料驱动增量，和001-108没有直接同义复述。,行业观察 + 反模板判断 + 平台策略 + 案例拆解,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：同质化不是慢慢发生，而是瞬间收敛 小红书版钩子：创作者追热点追到最后只是在复述同一篇文章 知乎回答问题：为什么 热点收敛周期...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98120_%E4%B8%BA%E4%BB%80%E4%B9%88AI%E7%83%AD%E7%82%B9%E5%8F%91%E7%94%9F14%E5%A4%A9%E5%90%8E%E5%85%A8%E7%BD%91%E4%BC%9A%E5%8F%98%E6%88%90%E5%90%8C%E4%B8%80%E7%AF%87%E6%96%87%E7%AB%A0%E5%90%8C%E8%B4%A8%E5%8C%96%E4%B8%8D%E6%98%AF%E6%85%A2%E6%85%A2%E5%8F%91%E7%94%9F%E8%80%8C%E6%98%AF%E7%9E%AC%E9%97%B4%E6%94%B6%E6%95%9B.html
121,已成稿,A,AI内容生态,为什么你越复制爆款公式，越会被算法识别成廉价内容？爆款模板正在变成集体降权信号,低：资料驱动增量，和001-108没有直接同义复述。,行业观察 + 反模板判断 + 平台策略 + 案例拆解,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：爆款模板正在变成集体降权信号 小红书版钩子：照抄标题公式短期省力，长期损害辨识度 知乎回答问题：为什么 反爆款模板 对 AD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98121_%E4%B8%BA%E4%BB%80%E4%B9%88%E4%BD%A0%E8%B6%8A%E5%A4%8D%E5%88%B6%E7%88%86%E6%AC%BE%E5%85%AC%E5%BC%8F%E8%B6%8A%E4%BC%9A%E8%A2%AB%E7%AE%97%E6%B3%95%E8%AF%86%E5%88%AB%E6%88%90%E5%BB%89%E4%BB%B7%E5%86%85%E5%AE%B9%E7%88%86%E6%AC%BE%E6%A8%A1%E6%9D%BF%E6%AD%A3%E5%9C%A8%E5%8F%98%E6%88%90%E9%9B%86%E4%BD%93%E9%99%8D%E6%9D%83%E4%BF%A1%E5%8F%B7.html
122,已成稿,S,AI内容生态,为什么 Agent 是 AI 内容里的暗线之王？参数竞赛热闹，但最后一公里才赚钱,低：资料驱动增量，和001-108没有直接同义复述。,反常识定调 + 地图式结构 + 产品入口 + 评论区需求采集,痛点：个人观察：ADHD 最容易在建议和执行之间断线。；需求：这四层合起来，才是 AI 从聊天玩具变成生产系统的关键。；待办：每个场景只写五项：；- 触发条件：；- 输入材料：,正文已渲染；可进入平台发布包。,进入发布包：公众号长文、小红书痛点版、评论回流问题、产品入口。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98122_%E4%B8%BA%E4%BB%80%E4%B9%88Agent%E6%98%AFAI%E5%86%85%E5%AE%B9%E9%87%8C%E7%9A%84%E6%9A%97%E7%BA%BF%E4%B9%8B%E7%8E%8B_%E5%8F%82%E6%95%B0%E7%AB%9E%E8%B5%9B%E7%83%AD%E9%97%B9%E4%BD%86%E6%9C%80%E5%90%8E%E4%B8%80%E5%85%AC%E9%87%8C%E6%89%8D%E8%B5%9A%E9%92%B1.html
123,已成稿,A,AI内容生态,为什么 L2.5 博主比情绪标题党更值钱？比原发源更易懂，比媒体更快,低：资料驱动增量，和001-108没有直接同义复述。,行业观察 + 反模板判断 + 平台策略 + 案例拆解,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：比原发源更易懂，比媒体更快 小红书版钩子：普通读者看不懂原始论文，也厌倦二手标题党 知乎回答问题：为什么 L2.5解释层 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98123_%E4%B8%BA%E4%BB%80%E4%B9%88L2_5%E5%8D%9A%E4%B8%BB%E6%AF%94%E6%83%85%E7%BB%AA%E6%A0%87%E9%A2%98%E5%85%9A%E6%9B%B4%E5%80%BC%E9%92%B1%E6%AF%94%E5%8E%9F%E5%8F%91%E6%BA%90%E6%9B%B4%E6%98%93%E6%87%82%E6%AF%94%E5%AA%92%E4%BD%93%E6%9B%B4%E5%BF%AB.html
124,已成稿,A,AI内容生态,为什么公众号正在短视频化，而小红书正在搜索引擎化？平台不是渠道，是不同的大脑,低：资料驱动增量，和001-108没有直接同义复述。,行业观察 + 反模板判断 + 平台策略 + 案例拆解,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：平台不是渠道，是不同的大脑 小红书版钩子：同一内容复制到不同平台表现很差 知乎回答问题：为什么 平台大脑差异 对 ADHD ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98124_%E4%B8%BA%E4%BB%80%E4%B9%88%E5%85%AC%E4%BC%97%E5%8F%B7%E6%AD%A3%E5%9C%A8%E7%9F%AD%E8%A7%86%E9%A2%91%E5%8C%96%E8%80%8C%E5%B0%8F%E7%BA%A2%E4%B9%A6%E6%AD%A3%E5%9C%A8%E6%90%9C%E7%B4%A2%E5%BC%95%E6%93%8E%E5%8C%96%E5%B9%B3%E5%8F%B0%E4%B8%8D%E6%98%AF%E6%B8%A0%E9%81%93%E6%98%AF%E4%B8%8D%E5%90%8C%E7%9A%84%E5%A4%A7%E8%84%91.html
125,已成稿,A,AI内容生态,为什么跨平台一鱼多吃会变成算法自杀？不是分发越多越好，而是原生度越高越好,低：资料驱动增量，和001-108没有直接同义复述。,行业观察 + 反模板判断 + 平台策略 + 案例拆解,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：不是分发越多越好，而是原生度越高越好 小红书版钩子：复制粘贴多平台导致推荐差、互动弱 知乎回答问题：为什么 跨平台原生度 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98125_%E4%B8%BA%E4%BB%80%E4%B9%88%E8%B7%A8%E5%B9%B3%E5%8F%B0%E4%B8%80%E9%B1%BC%E5%A4%9A%E5%90%83%E4%BC%9A%E5%8F%98%E6%88%90%E7%AE%97%E6%B3%95%E8%87%AA%E6%9D%80%E4%B8%8D%E6%98%AF%E5%88%86%E5%8F%91%E8%B6%8A%E5%A4%9A%E8%B6%8A%E5%A5%BD%E8%80%8C%E6%98%AF%E5%8E%9F%E7%94%9F%E5%BA%A6%E8%B6%8A%E9%AB%98%E8%B6%8A%E5%A5%BD.html
126,已成稿,B,AI内容生态,为什么 AI 内容需要内容对冲机制？热点越热，越要留20%冷内容,低：资料驱动增量，和001-108没有直接同义复述。,行业观察 + 反模板判断 + 平台策略 + 案例拆解,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：公众号版核心标题：为什么 AI 内容需要内容对冲机制？；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98126_%E4%B8%BA%E4%BB%80%E4%B9%88AI%E5%86%85%E5%AE%B9%E9%9C%80%E8%A6%81%E5%86%85%E5%AE%B9%E5%AF%B9%E5%86%B2%E6%9C%BA%E5%88%B6%E7%83%AD%E7%82%B9%E8%B6%8A%E7%83%AD%E8%B6%8A%E8%A6%81%E7%95%9920_%E5%86%B7%E5%86%85%E5%AE%B9.html
127,已成稿,B,AI内容生态,为什么邀请码经济学能让 AI 产品自己长腿？稀缺不是访问限制，而是社交货币,低：资料驱动增量，和001-108没有直接同义复述。,行业观察 + 反模板判断 + 平台策略 + 案例拆解,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：稀缺不是访问限制，而是社交货币 小红书版钩子：用户被FOMO牵动，却不理解传播机制 知乎回答问题：为什么 邀请码经济学 对 ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98127_%E4%B8%BA%E4%BB%80%E4%B9%88%E9%82%80%E8%AF%B7%E7%A0%81%E7%BB%8F%E6%B5%8E%E5%AD%A6%E8%83%BD%E8%AE%A9AI%E4%BA%A7%E5%93%81%E8%87%AA%E5%B7%B1%E9%95%BF%E8%85%BF%E7%A8%80%E7%BC%BA%E4%B8%8D%E6%98%AF%E8%AE%BF%E9%97%AE%E9%99%90%E5%88%B6%E8%80%8C%E6%98%AF%E7%A4%BE%E4%BA%A4%E8%B4%A7%E5%B8%81.html
128,已成稿,B,AI内容生态,为什么春节、长假和凌晨才是 AI 传播真正的隐藏按钮？注意力不是均匀分布的,低：资料驱动增量，和001-108没有直接同义复述。,行业观察 + 反模板判断 + 平台策略 + 案例拆解,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：注意力不是均匀分布的 小红书版钩子：创作者只盯黄金时间，忽视注意力真空窗口 知乎回答问题：为什么 注意力真空 对 ADHD ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98128_%E4%B8%BA%E4%BB%80%E4%B9%88%E6%98%A5%E8%8A%82%E9%95%BF%E5%81%87%E5%92%8C%E5%87%8C%E6%99%A8%E6%89%8D%E6%98%AFAI%E4%BC%A0%E6%92%AD%E7%9C%9F%E6%AD%A3%E7%9A%84%E9%9A%90%E8%97%8F%E6%8C%89%E9%92%AE%E6%B3%A8%E6%84%8F%E5%8A%9B%E4%B8%8D%E6%98%AF%E5%9D%87%E5%8C%80%E5%88%86%E5%B8%83%E7%9A%84.html
129,已成稿,S,ADHD科学机制,为什么 ADHD 不是超能力也不是缺陷，而是尖峰轮廓？环境决定它像外挂还是伤口,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：个人观察：很多高能力 ADHD 最痛苦的地方，是别人只看见他的尖峰，于是无法理解他的低谷。；需求：一种说它是病，是缺陷，是麻烦，是需要被矫正的系统错误。；待办：左栏写“我异常强的场景”，右栏写“我反复掉线的场景”。；然后每个掉线场景后面写一个外部系统：Agent、模板、提醒、同伴、降级入口、done list、物理便签。；你不需要把自己磨成平...,正文已渲染；可进入平台发布包。,进入发布包：公众号长文、小红书痛点版、评论回流问题、产品入口。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98129_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E4%B8%8D%E6%98%AF%E8%B6%85%E8%83%BD%E5%8A%9B%E4%B9%9F%E4%B8%8D%E6%98%AF%E7%BC%BA%E9%99%B7%E8%80%8C%E6%98%AF%E5%B0%96%E5%B3%B0%E8%BD%AE%E5%BB%93_%E7%8E%AF%E5%A2%83%E5%86%B3%E5%AE%9A%E5%AE%83%E5%83%8F%E5%A4%96%E6%8C%82%E8%BF%98%E6%98%AF%E4%BC%A4%E5%8F%A3.html
130,已成稿,A,ADHD科学机制,为什么 ADHD 的超聚焦需要日志，而不是崇拜？你要记录它的入口、代价和坠落时间,高：原题与078重叠，已改为超聚焦日志和代价管理。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你要记录它的入口、代价和坠落时间 小红书版钩子：把超聚焦当超能力，结果反复透支后坠落 知乎回答问题：为什么 超聚焦日志 对 ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98130_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9A%84%E8%B6%85%E8%81%9A%E7%84%A6%E9%9C%80%E8%A6%81%E6%97%A5%E5%BF%97%E8%80%8C%E4%B8%8D%E6%98%AF%E5%B4%87%E6%8B%9C%E4%BD%A0%E8%A6%81%E8%AE%B0%E5%BD%95%E5%AE%83%E7%9A%84%E5%85%A5%E5%8F%A3%E4%BB%A3%E4%BB%B7%E5%92%8C%E5%9D%A0%E8%90%BD%E6%97%B6%E9%97%B4.html
131,已成稿,A,ADHD科学机制,为什么正常人的时间管理会伤害 ADHD？它假设你有稳定的内置时钟,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：它假设你有稳定的内置时钟 小红书版钩子：番茄钟和计划表反复失败后变成自责证据 知乎回答问题：为什么 外部时钟 对 ADHD ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98131_%E4%B8%BA%E4%BB%80%E4%B9%88%E6%AD%A3%E5%B8%B8%E4%BA%BA%E7%9A%84%E6%97%B6%E9%97%B4%E7%AE%A1%E7%90%86%E4%BC%9A%E4%BC%A4%E5%AE%B3ADHD%E5%AE%83%E5%81%87%E8%AE%BE%E4%BD%A0%E6%9C%89%E7%A8%B3%E5%AE%9A%E7%9A%84%E5%86%85%E7%BD%AE%E6%97%B6%E9%92%9F.html
132,已成稿,A,ADHD科学机制,为什么 ADHD 真正需要的是兴趣驱动操作系统？不是任务重要就能启动，而是信号够亮才会启动,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：公众号版核心标题：为什么 ADHD 真正需要的是兴趣驱动操作系统？；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98132_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9C%9F%E6%AD%A3%E9%9C%80%E8%A6%81%E7%9A%84%E6%98%AF%E5%85%B4%E8%B6%A3%E9%A9%B1%E5%8A%A8%E6%93%8D%E4%BD%9C%E7%B3%BB%E7%BB%9F%E4%B8%8D%E6%98%AF%E4%BB%BB%E5%8A%A1%E9%87%8D%E8%A6%81%E5%B0%B1%E8%83%BD%E5%90%AF%E5%8A%A8%E8%80%8C%E6%98%AF%E4%BF%A1%E5%8F%B7%E5%A4%9F%E4%BA%AE%E6%89%8D%E4%BC%9A%E5%90%AF%E5%8A%A8.html
133,已成稿,B,ADHD科学机制,为什么 ADHD 的晚睡需要关机 SOP，而不是自责？你不是不睡，是系统没有收到降噪信号,中：与066睡眠相位延迟重叠，已改为晚间关机SOP。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你不是不睡，是系统没有收到降噪信号 小红书版钩子：晚睡被道德化成懒，越自责越睡不着 知乎回答问题：为什么 晚间关机SOP 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98133_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9A%84%E6%99%9A%E7%9D%A1%E9%9C%80%E8%A6%81%E5%85%B3%E6%9C%BASOP%E8%80%8C%E4%B8%8D%E6%98%AF%E8%87%AA%E8%B4%A3%E4%BD%A0%E4%B8%8D%E6%98%AF%E4%B8%8D%E7%9D%A1%E6%98%AF%E7%B3%BB%E7%BB%9F%E6%B2%A1%E6%9C%89%E6%94%B6%E5%88%B0%E9%99%8D%E5%99%AA%E4%BF%A1%E5%8F%B7.html
134,已成稿,A,ADHD科学机制,为什么 ADHD 女性最容易把症状误认为性格缺陷？她们不是没症状，是太会遮住症状,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：她们不是没症状，是太会遮住症状 小红书版钩子：女性长期把分心、情绪和疲惫解释成性格差 知乎回答问题：为什么 女性ADHD识别...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98134_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E5%A5%B3%E6%80%A7%E6%9C%80%E5%AE%B9%E6%98%93%E6%8A%8A%E7%97%87%E7%8A%B6%E8%AF%AF%E8%AE%A4%E4%B8%BA%E6%80%A7%E6%A0%BC%E7%BC%BA%E9%99%B7%E5%A5%B9%E4%BB%AC%E4%B8%8D%E6%98%AF%E6%B2%A1%E7%97%87%E7%8A%B6%E6%98%AF%E5%A4%AA%E4%BC%9A%E9%81%AE%E4%BD%8F%E7%97%87%E7%8A%B6.html
135,已成稿,S,ADHD科学机制,为什么 ADHD 完成一件事只爽几秒？因为你的大脑没有成就结算系统,低：升级为成就盲视主炮题，和done list系统强相关。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：外人看你明明做了不少，你自己却真诚地觉得：我是不是又浪费了一天。；需求：对 ADHD 来说，完成感不是自然流出的泉水，而是一套需要外置的账务系统。；待办：每天结束前，只写三行：；注意，不要写十条，不要搞复杂复盘，不要变成新的打卡羞耻。只写三行。；如果你愿意接 AI，就让 Agent 每晚帮你做一件事：把聊天、文件、提交、草稿、反馈里出现...,正文已渲染；可进入平台发布包。,进入发布包：公众号长文、小红书痛点版、评论回流问题、产品入口。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98135_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E5%AE%8C%E6%88%90%E4%B8%80%E4%BB%B6%E4%BA%8B%E5%8F%AA%E7%88%BD%E5%87%A0%E7%A7%92_%E5%9B%A0%E4%B8%BA%E4%BD%A0%E7%9A%84%E5%A4%A7%E8%84%91%E6%B2%A1%E6%9C%89%E6%88%90%E5%B0%B1%E7%BB%93%E7%AE%97%E7%B3%BB%E7%BB%9F.html
136,已成稿,A,ADHD科学机制,为什么 AI body double 可能是 ADHD 的下一代陪跑者？你缺的不是监督，是一个不评判的同在,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你缺的不是监督，是一个不评判的同在 小红书版钩子：独自启动困难，真人监督又容易羞耻 知乎回答问题：为什么 AI陪跑 对 AD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98136_%E4%B8%BA%E4%BB%80%E4%B9%88AIbodydouble%E5%8F%AF%E8%83%BD%E6%98%AFADHD%E7%9A%84%E4%B8%8B%E4%B8%80%E4%BB%A3%E9%99%AA%E8%B7%91%E8%80%85%E4%BD%A0%E7%BC%BA%E7%9A%84%E4%B8%8D%E6%98%AF%E7%9B%91%E7%9D%A3%E6%98%AF%E4%B8%80%E4%B8%AA%E4%B8%8D%E8%AF%84%E5%88%A4%E7%9A%84%E5%90%8C%E5%9C%A8.html
137,已成稿,B,ADHD科学机制,为什么游戏化对 ADHD 有效，但也最容易变成新成瘾？多巴胺按钮不能没有刹车,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：多巴胺按钮不能没有刹车 小红书版钩子：游戏化短期有效，长期可能变成新沉迷 知乎回答问题：为什么 游戏化刹车 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98137_%E4%B8%BA%E4%BB%80%E4%B9%88%E6%B8%B8%E6%88%8F%E5%8C%96%E5%AF%B9ADHD%E6%9C%89%E6%95%88%E4%BD%86%E4%B9%9F%E6%9C%80%E5%AE%B9%E6%98%93%E5%8F%98%E6%88%90%E6%96%B0%E6%88%90%E7%98%BE%E5%A4%9A%E5%B7%B4%E8%83%BA%E6%8C%89%E9%92%AE%E4%B8%8D%E8%83%BD%E6%B2%A1%E6%9C%89%E5%88%B9%E8%BD%A6.html
138,已成稿,B,ADHD科学机制,为什么 ADHD 的创意优势必须被环境解锁，而不是被鸡血激活？错误环境会把天赋磨成症状,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：错误环境会把天赋磨成症状 小红书版钩子：被你很有潜力绑架，却长期无法稳定产出 知乎回答问题：为什么 环境匹配 对 ADHD ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98138_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9A%84%E5%88%9B%E6%84%8F%E4%BC%98%E5%8A%BF%E5%BF%85%E9%A1%BB%E8%A2%AB%E7%8E%AF%E5%A2%83%E8%A7%A3%E9%94%81%E8%80%8C%E4%B8%8D%E6%98%AF%E8%A2%AB%E9%B8%A1%E8%A1%80%E6%BF%80%E6%B4%BB%E9%94%99%E8%AF%AF%E7%8E%AF%E5%A2%83%E4%BC%9A%E6%8A%8A%E5%A4%A9%E8%B5%8B%E7%A3%A8%E6%88%90%E7%97%87%E7%8A%B6.html
139,已成稿,B,ADHD科学机制,为什么药物只能打开门，而不能替你走完工作流？专注力回来后，系统仍然要有人搭,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：专注力回来后，系统仍然要有人搭 小红书版钩子：期待药物解决全部人生问题，结果窗口期被浪费 知乎回答问题：为什么 药效窗口工作...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98139_%E4%B8%BA%E4%BB%80%E4%B9%88%E8%8D%AF%E7%89%A9%E5%8F%AA%E8%83%BD%E6%89%93%E5%BC%80%E9%97%A8%E8%80%8C%E4%B8%8D%E8%83%BD%E6%9B%BF%E4%BD%A0%E8%B5%B0%E5%AE%8C%E5%B7%A5%E4%BD%9C%E6%B5%81%E4%B8%93%E6%B3%A8%E5%8A%9B%E5%9B%9E%E6%9D%A5%E5%90%8E%E7%B3%BB%E7%BB%9F%E4%BB%8D%E7%84%B6%E8%A6%81%E6%9C%89%E4%BA%BA%E6%90%AD.html
140,已成稿,B,ADHD科学机制,为什么 ADHD 的冲动不是敌人，而是需要刹车系统的发动机？能量不该被骂死，应该被接线,低：资料驱动增量，和001-108没有直接同义复述。,刺痛场景 + 机制命名 + 科学解释 + 自测动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：公众号版核心标题：为什么 ADHD 的冲动不是敌人，而是需要刹车系统的发动机？；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98140_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9A%84%E5%86%B2%E5%8A%A8%E4%B8%8D%E6%98%AF%E6%95%8C%E4%BA%BA%E8%80%8C%E6%98%AF%E9%9C%80%E8%A6%81%E5%88%B9%E8%BD%A6%E7%B3%BB%E7%BB%9F%E7%9A%84%E5%8F%91%E5%8A%A8%E6%9C%BA%E8%83%BD%E9%87%8F%E4%B8%8D%E8%AF%A5%E8%A2%AB%E9%AA%82%E6%AD%BB%E5%BA%94%E8%AF%A5%E8%A2%AB%E6%8E%A5%E7%BA%BF.html
141,已成稿,S,认知外包产品,为什么 AI 不是 ADHD 的效率工具，而是认知外包操作系统？这不是提效，是重建大脑架构,低：认知外包操作系统是新阶段总纲。,反常识定调 + 地图式结构 + 产品入口 + 评论区需求采集,痛点：真正改变命运的不是“AI 让我快一点”，而是“AI 接管了我大脑里最容易掉线的那些功能”。；需求：一句话打穿：ADHD 用 AI 的核心，不是把事情做快，而是把不稳定的认知功能外置。；待办：只写五行：；- 我最容易卡住的认知功能是：；- 这个功能卡住时的典型场景是：,正文已渲染；可进入平台发布包。,进入发布包：公众号长文、小红书痛点版、评论回流问题、产品入口。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98141_%E4%B8%BA%E4%BB%80%E4%B9%88AI%E4%B8%8D%E6%98%AFADHD%E7%9A%84%E6%95%88%E7%8E%87%E5%B7%A5%E5%85%B7%E8%80%8C%E6%98%AF%E8%AE%A4%E7%9F%A5%E5%A4%96%E5%8C%85%E6%93%8D%E4%BD%9C%E7%B3%BB%E7%BB%9F_%E8%BF%99%E4%B8%8D%E6%98%AF%E6%8F%90%E6%95%88%E6%98%AF%E9%87%8D%E5%BB%BA%E5%A4%A7%E8%84%91%E6%9E%B6%E6%9E%84.html
142,已成稿,A,认知外包产品,为什么每找到一个 AI 能替你做的事，你就扩容了一次大脑？外包不是偷懒，是认知增生,低：资料驱动增量，和001-108没有直接同义复述。,生活场景 + 机制解释 + 小动作,痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：外包不是偷懒，是认知增生 小红书版钩子：使用AI有羞耻感，觉得自己不够努力 知乎回答问题：为什么 外包日记 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98142_%E4%B8%BA%E4%BB%80%E4%B9%88%E6%AF%8F%E6%89%BE%E5%88%B0%E4%B8%80%E4%B8%AAAI%E8%83%BD%E6%9B%BF%E4%BD%A0%E5%81%9A%E7%9A%84%E4%BA%8B%E4%BD%A0%E5%B0%B1%E6%89%A9%E5%AE%B9%E4%BA%86%E4%B8%80%E6%AC%A1%E5%A4%A7%E8%84%91%E5%A4%96%E5%8C%85%E4%B8%8D%E6%98%AF%E5%81%B7%E6%87%92%E6%98%AF%E8%AE%A4%E7%9F%A5%E5%A2%9E%E7%94%9F.html
