"选题","题目","字数","3个核心观点","解决的问题","质量评分","质量状态","质检备注","正文链接"
"077","为什么ADHD的完成恐惧比拖延更深一层？你不是怕开始，是怕作品进入现实被审判","844","ADHD 对反馈非常敏感，所以完成不是终点，而是一场暴露。 | 第一，你最容易拖住的不是完全没价值的东西，而是你真的在乎的东西。 | 04 所以 ADHD 需要重新定义完成。","痛点：第一，你最容易拖住的不是完全没价值的东西，而是你真的在乎的东西。；需求：所以 ADHD 需要重新定义完成。；待办：写下：；ADHD 不是只怕开始。很多时候，你更怕完成后的现实反馈。可内容、产品、关系和事业都只在现实里生长。未完成保护了你的幻想，也困住了你的资产。","6","通过","","../rendered_articles/问题077_为什么ADHD的完成恐惧比拖延更深一层_你不是怕开始是怕作品进入现实被审判.html"
"078","为什么ADHD的超聚焦是高浓度的多巴胺极化，不是意志力胜利？你不是终于自律了，是系统被单一信号劫持了","882","你不是自由地选择专注，而是被某个信号抓住。 | 02 超聚焦的关键不是意志力，而是刺激结构。 | 不是提醒你停止，而是提醒你保存成果。","痛点：ADHD 最容易被误解的一点是：你明明也能连续干十个小时，怎么能说自己注意力有问题？；需求：你需要两套系统： 超聚焦系统，负责高能突破。；待办：闹钟响后做三件事：；写下当前进度。；写下下一步动作。","6","通过","","../rendered_articles/问题078_为什么ADHD的超聚焦是高浓度的多巴胺极化不是意志力胜利_你不是终于自律了是系统被单一信号劫持了.html"
"079","为什么ADHD被打断后回不来是栈指针丢失，不是性格脆弱？你断掉的不是心情，是任务现场","882","你不是不想回来，而是回来时发现“现场地址”没了。 | 尤其是写作、编程、研究、策划这种需要长链路保持的工作，一次打断不是插曲，而是重启。 | 第一，很多 ADHD 被打断后不是立刻继续，而是开始刷手机、看别的文件、重新找入口。","痛点：”你回答完，回到屏幕前，突然不知道自己刚才要写哪一句。；需求：所以 ADHD 需要“中断保护协议”。；待办：如果我被打断，回来先做：___；比如：；如果我被打断，回来先写 03 的第二个铁证。","6","通过","","../rendered_articles/问题079_为什么ADHD被打断后回不来是栈指针丢失不是性格脆弱_你断掉的不是心情是任务现场.html"
"080","为什么ADHD的过度共情是镜像系统的无门控泄洪？你不是太敏感，是别人的情绪没有边界地进来了","831","有些 ADHD 不是不懂别人，而是太懂。 | 真正成熟的共情，不是替所有人淋雨，而是知道什么时候撑伞，什么时候递伞，什么时候回到自己的房间。 | 04 所以 ADHD 需要区分共情和接管。","痛点：有些 ADHD 不是不懂别人，而是太懂。；需求：所以 ADHD 需要区分共情和接管。；待办：“我能理解你现在不舒服，但我需要先确认：这件事里我具体能做什么？”；这句话能把无边界情绪，拉回具体请求。；ADHD 的过度共情不是道德缺陷，也不是单纯善良。它是一套高增益情绪接收系统。...","6","通过","","../rendered_articles/问题080_为什么ADHD的过度共情是镜像系统的无门控泄洪_你不是太敏感是别人的情绪没有边界地进来了.html"
"081","为什么ADHD的决策疲劳在下午三点比午饭前更可预测？你不是突然废了，是前额叶带宽被上午花光了","879","到了下午三点，系统不是突然变差，而是电量账单终于显示出来。 | 第一，你上午能决定的事，下午会突然变难，说明问题不是价值判断本身，而是资源状态。 | 说明你缺的不是能量本身，而是选择能力。","痛点：很多 ADHD 的下午三点都有一种熟悉的报废感。；需求：说明你缺的不是能量本身，而是选择能力。；待办：提前写 5 个低决策动作：；记录一个反馈。；下午三点只从这 5 个里选，不重新规划人生。","6","通过","","../rendered_articles/问题081_为什么ADHD的决策疲劳在下午三点比午饭前更可预测_你不是突然废了是前额叶带宽被上午花光了.html"
"082","为什么ADHD需要任务的物理化身才能真正记得？你的大脑不是不重视，是看不见就等于不存在","805","第三，你经常不是不想做，而是任务没有在正确时刻出现在你的感官系统里。 | 04 所以 ADHD 的任务管理不该只追求数字化。 | ADHD 经常需要外部物体来维持存在感。","痛点：ADHD 经常需要外部物体来维持存在感。；需求：你需要混合系统：重要任务必须有物理或视觉锚点。；待办：拿一张纸，写：；今天唯一动作：___；完成证据：___","6","通过","","../rendered_articles/问题082_为什么ADHD需要任务的物理化身才能真正记得_你的大脑不是不重视是看不见就等于不存在.html"
"083","为什么ADHD的反复确认不是焦虑，是工作记忆校验和？你不是不信任自己，是缓存太容易掉线","1141","最后你不是在防错，而是在被“我可能出错”绑架。 | 04 所以解决方法不是骂自己“别焦虑”，而是把确认工程化。 | 关键不是不确认，而是确认后必须有结束标志。","痛点：因为你太熟悉一种掉线感：刚刚明明想到了，下一秒就忘了；刚刚明明放进包里，出门后突然不确定；刚刚明明改过文件，回头又怀疑是不是...；需求：真正要改的不是确认本身，而是把确认从无限循环，改造成一次可结束、可留证、可复用的校验动作。；待办：确认后禁止做什么？；我要确认门锁。标准是门把手下压打不开。完成证据是拍照。确认后禁止返回二次检查。；ADHD 的反复确认不是纯粹矫情。它常常是一个缓存不稳定系统在自救。真正要改的不是确...","6","通过","","../rendered_articles/问题083_为什么ADHD的反复确认不是焦虑是工作记忆校验和_你不是不信任自己是缓存太容易掉线.html"
"084","为什么ADHD读不完非虚构书恰恰是因为太懂这本书的核心？你不是没耐心，是已经抓到主干后不想陪它走完证明","862","02 ADHD 读书常常不是线性吸收，而是模型捕获。 | 你不是为了把整本书从第一页搬到最后一页，而是为了捕捉一个可迁移结构：这个框架能不能解释我的问题？ | 第三，你真正能读完的书，往往不是信息密度最高的，而是持续给你新连接的。","痛点：很多 ADHD 的书架上都有一种奇观：大量读了一半的非虚构书。；需求：真正重要的不是一本书有没有被你从头读到尾，而是它有没有在你脑子里变成一个能继续发电的结构。；待办：打开一本你读了一半的非虚构书，写三行：","6","通过","","../rendered_articles/问题084_为什么ADHD读不完非虚构书恰恰是因为太懂这本书的核心_你不是没耐心是已经抓到主干后不想陪它走完证明.html"
"085","为什么ADHD的反复重启项目是迭代而不是循环？你不是总在从头开始，是每次都带回了新参数","801","真正要补的不是禁止重启，而是让每一次重启都带回旧世界的资产，而不是只带回羞耻。 | 真正的问题是，如果没有迁移旧资产，你就会反复丢失已经付过学费的东西。 | 04 所以 ADHD 需要“重启协议”。","痛点：旧项目里堆满了没做到、没收尾、没发布、没反馈，一打开就有羞耻味。；需求：真正要补的不是禁止重启，而是让每一次重启都带回旧世界的资产，而不是只带回羞耻。；待办：v1 做了什么？；v2 只交付什么？；这四行能把“我又失败了”变成“我在迭代”。","6","通过","","../rendered_articles/问题085_为什么ADHD的反复重启项目是迭代而不是循环_你不是总在从头开始是每次都带回了新参数.html"
"086","为什么ADHD会议中突然走神是大脑在帮你识别真正的关键句？你不是没听，而是在等信号出现","813","所以 ADHD 会议能力不是差，而是偏科。 | 但奇怪的是，当有人说出真正关键的一句话，你又会突然醒过来，甚至立刻指出问题。 | 你不被形式拖住，能直接听见真正不对劲的地方。","痛点：第三，你会后最容易忘的是待办，不是判断。；需求：但奇怪的是，当有人说出真正关键的一句话，你又会突然醒过来，甚至立刻指出问题。；待办：左栏：关键句。；中栏：它说明什么问题。；右栏：下一步动作。","6","通过","","../rendered_articles/问题086_为什么ADHD会议中突然走神是大脑在帮你识别真正的关键句_你不是没听而是在等信号出现.html"
"087","为什么ADHD截止日期前才动是延迟最大化期望效用的理性策略？你不是只会拖，是系统在等足够强的启动信号","817","ADHD 不是喜欢痛苦，而是很多任务只有在痛苦足够具体时才获得启动权限。 | 04 所以 ADHD 要把 deadline 从惩罚改造成设计。 | 第一，你在 deadline 前的能力并不低，说明问题不是不会做。","痛点：第二，没有外部期限的个人项目最容易烂尾，说明“自己知道重要”不够。；需求：第一，你在 deadline 前的能力并不低，说明问题不是不会做。；待办：不要写“这周完成”。写：；今天 21 点前，把第一版发给某个人或放进某个文件夹。；ADHD 截止日期前才动，不是道德失败。它是一套高刺激启动系统。但如果你只依赖最后一刻，人生会被反复烧...","6","通过","","../rendered_articles/问题087_为什么ADHD截止日期前才动是延迟最大化期望效用的理性策略_你不是只会拖是系统在等足够强的启动信号.html"
"088","为什么ADHD反复刷同一个信息流是低成本的多巴胺取暖？你不是堕落，是大脑在找最低门槛的火源","1054","说明它不是普通娱乐选择，而是低电量自救。 | 真正要做的，不是骂自己怎么又靠近火源，而是给大脑准备更好的取暖方式，并让每一次取暖都有机会接上现实。 | 真正重要的任务通常启动成本高、反馈慢、风险大。","痛点：你明明知道没什么新东西了，还是继续刷。；需求：真正重要的任务通常启动成本高、反馈慢、风险大。；待办：每次想刷前，先做 90 秒：；问自己：我是在休息，还是在取暖？；再加一条升级规则：如果刷到了一个真的有价值的内容，立刻让它变成一个文件动作。比如写成一行选题、一条评论、一段素材，而不是...","6","通过","","../rendered_articles/问题088_为什么ADHD反复刷同一个信息流是低成本的多巴胺取暖_你不是堕落是大脑在找最低门槛的火源.html"
"089","为什么ADHD无法决定吃什么是选择维度过载，不是优柔寡断？你不是没主见，是每个选项都打开了太多后台","805","你不是不知道想吃什么，而是每个选项都会激活一串后果推演。 | 第一，你不是只在重大选择上困难，小选择也会卡住，说明问题不是价值观，而是选择系统。 | 说明你需要的不是更多自由，而是更少入口。","痛点：第一，你不是只在重大选择上困难，小选择也会卡住，说明问题不是价值观，而是选择系统。；需求：你不是剥夺自由，而是把自由留给真正重要的地方。；待办：低电量默认：___；高压力默认：___；想奖励默认：___","6","通过","","../rendered_articles/问题089_为什么ADHD无法决定吃什么是选择维度过载不是优柔寡断_你不是没主见是每个选项都打开了太多后台.html"
"090","为什么ADHD工作时听书做菜同时进行是有意的认知节流？你不是混乱，是给大脑加背景负载防止系统掉线","801","不是为了分散注意力，而是为了防止注意力掉线。 | 真正有效的认知节流，是让背景负载足够轻、足够熟、足够可自动运行。 | 02 关键在于“背景任务”不能抢主线程。","痛点：有些 ADHD 的工作方式在外人看来非常离谱。；需求：你需要的是主线程明确、背景负载可控。；待办：写下三类：；安全背景：不会抢注意力。；危险背景：容易把我带跑。","6","通过","","../rendered_articles/问题090_为什么ADHD工作时听书做菜同时进行是有意的认知节流_你不是混乱是给大脑加背景负载防止系统掉线.html"
"091","为什么ADHD最需要的不是待办软件，而是“今日唯一动作”——你不是不会规划，是同时背了太多开机任务","2797","你有没有发现，待办软件对你最大的作用，不是帮你完成任务，而是帮你制造一种持续的、低剂量的窒息？ | 它看到的不是“优先级”，而是“同时存在的未完成”。 | 所以ADHD最需要的从来不是一个更花哨的待办系统，而是一个极其粗暴的机制： 今天只允许有一个真正的动作。","痛点：你有没有发现，待办软件对你最大的作用，不是帮你完成任务，而是帮你制造一种持续的、低剂量的窒息？；需求：你今天真正需要完成的，真的有十件吗？；待办：今天只认一个动作，其他全部降级成背景噪音。","7","通过","","../rendered_articles/问题091_为什么ADHD最需要的不是待办软件而是今日唯一动作_你不是不会规划是同时背了太多开机任务.html"
"092","为什么ADHD的AI工作流必须有“降级手动入口”——你的外部前额叶不能只有豪华模式，还要有断电模式","2554","你本来就不是靠稳定内驱在推进，而是靠这套外部前额叶托着走。 | 降级手动入口的价值，不是让你优雅，而是让你不中断。 | 真正决定系统寿命的，往往不是顺风局，而是故障时有没有第二条路。","痛点：对你更关键的是另一件事：失败那次，你有没有马上接住。；需求：你真正需要的，不是一个永远不会失败的外部前额叶。；待办：降级设计会逼你回答一个很硬的问题：这件事如果今天必须徒手做完，最小动作到底是什么？","7","通过","","../rendered_articles/问题092_为什么ADHD的AI工作流必须有降级手动入口_你的外部前额叶不能只有豪华模式还要有断电模式.html"
"093","为什么ADHD的好想法死在“没有反馈回流”——你缺的不是灵感，是让现实回话的回路","2280","铁证一：你过往真正推进最快的项目，通常都不是“最成熟”的那个，而是“最先收到回应”的那个。 | 不是因为它客观上没价值，而是因为大脑无法持续为“没有任何现实回音的抽象可能”供能。 | 不是今天写了几百字，而是今天哪条内容有人回应、谁说了什么、哪句话让人停下来了、哪个问题被反复问到。","痛点：不是因为它客观上没价值，而是因为大脑无法持续为“没有任何现实回音的抽象可能”供能。；需求：为什么“反馈回流”比“继续优化想法”更关键？；待办：Decide: 是否建立一张 `回流台账`，每篇内容只追三项：谁回应了、重复问题是什么、哪句话最能带来后续动作。","7","通过","","../rendered_articles/问题093_为什么ADHD的好想法死在没有反馈回流_你缺的不是灵感是让现实回话的回路.html"
"094","为什么ADHD的内容创业不能靠日更，而要靠“脉冲式发布”——你不是流水线作者，你是高压电容","2084","然后你很快发现，这套东西对你最大的作用，不是帮助创作，而是帮助内疚。 | 因为你真正的优势不是“每天都差不多”，而是“某几天远高于平均值”。 | 你真正需要守住的不是日历连续性，而是内容质量和主线连续性。","痛点：你有没有被“稳定日更”这四个字长期羞辱过？；需求：你真正需要守住的不是日历连续性，而是内容质量和主线连续性。；待办：所以如果你把内容创业的底层节奏建立在“每天都必须稳定输出一点”上，你很容易把自己训练成一个长期自责的人，而不是一个长期有作品...","7","通过","","../rendered_articles/问题094_为什么ADHD的内容创业不能靠日更而要靠脉冲式发布_你不是流水线作者你是高压电容.html"
"095","为什么ADHD的个人品牌不是定位出来的，是从反复失控里长出来的——你的辨识度藏在你总忍不住反复谈的伤口里","2113","第三，因为个人品牌的本质不是简介，而是可预期的视角。 | 人们关注你，不是因为你自称什么，而是因为他们知道：一旦某类问题出现，你会怎么解释、怎么命名、怎么拆、怎么把混乱压成结构。 | 第四，因为ADHD的成长路线本来就不是直线定位，而是连续自我重构。","痛点：你有没有发现，一谈到“个人品牌定位”，你就会本能地有点抗拒？；需求：第三，因为个人品牌的本质不是简介，而是可预期的视角。；待办：记录那些你总是会卡住、总是会爆掉、总是会想反思的问题。","7","通过","","../rendered_articles/问题095_为什么ADHD的个人品牌不是定位出来的是从反复失控里长出来的_你的辨识度藏在你总忍不住反复谈的伤口里.html"
"096","为什么ADHD最危险的不是拖延，而是把搭系统误认为推进——你以为自己在铺路，其实一直在修停车场","1985","铁证一：判断推进最简单的方法，不是看你今天做了多少系统动作，而是看现实有没有被拨动。 | 铁证二：很多人最“高效”的时期，反而不是系统最完善的时候，而是系统足够用就被迫出手的时候。 | 系统不是不能做，而是不能无限吃掉黄金时段。","痛点：因为它几乎同时满足了你最容易上头的几种奖励。；需求：因为不完美会迫使你先接触现实，现实再反过来逼着系统长出真正需要的部分。；待办：Decide: 是否建立一个 `反自嗨审计` 页面，只看最近 7 天的真实发布、真实回流、真实报价三项。","7","通过","","../rendered_articles/问题096_为什么ADHD最危险的不是拖延而是把搭系统误认为推进_你以为自己在铺路其实一直在修停车场.html"
"097","为什么ADHD需要一个“烂尾项目复活清单”——你不是总在放弃，你是在没有复活协议的世界里反复断线","1982","问题是，ADHD的“有空”常常不是一个日程点，而是一种玄学状态。 | 很多时候你缺的不是新点子，而是重新接电。 | 有些主题之所以反复回来，不是因为你优柔寡断，而是因为它们确实属于你。","痛点：Decide: 是否建立一张 `烂尾项目复活清单`，先从最容易带来真实回流的 10 个旧项目开始盘点。；需求：很多时候你缺的不是新点子，而是重新接电。；待办：Decide: 是否建立一张 `烂尾项目复活清单`，先从最容易带来真实回流的 10 个旧项目开始盘点。","7","通过","","../rendered_articles/问题097_为什么ADHD需要一个烂尾项目复活清单_你不是总在放弃你是在没有复活协议的世界里反复断线.html"
"098","为什么ADHD的现金流要从外部反馈开始，而不是从完美产品开始——先让世界回你一句话，再谈规模化","2105","第三，因为最初的现金流往往不是靠产品完成的，而是靠手工交付完成的。 | 不是因为大家不懂产品，而是因为手工交付能最快接触真实需求，最快看到哪一步值得产品化。 | 铁证一：很多第一笔钱，根本不是从“上线产品页”来的，而是从一次对话、一次试做、一次小范围测试来的。","痛点：它比拖延好看，比发呆高级，比刷手机更像事业。；需求：你以为用户想买的是A，结果对方真正激动的是B；你以为大家会为完整系统付费，结果他们先想要的只是一个模板、一通咨询、一次代做。；待办：Decide: 是否开始把这 8 篇分别改成公众号首发版 + 小红书短版 + 一个最小服务入口文案。","7","通过","","../rendered_articles/问题098_为什么ADHD的现金流要从外部反馈开始而不是从完美产品开始_先让世界回你一句话再谈规模化.html"
"099","为什么青年律师最需要的不是自律，而是一个外部前额叶？你缺的不是努力，是案件、任务和情绪同时排队的调度系统","890","第一，你最痛苦的常常不是写不出，而是不知道先写哪个、写到什么程度、交付标准是什么。 | 第二，很多低年级律师不是不会检索，而是不会把检索结果变成判断和行动。 | 04 所以青年律师最需要的不是一张更狠的自律表，而是外部前额叶。","痛点：第一，你最痛苦的常常不是写不出，而是不知道先写哪个、写到什么程度、交付标准是什么。；需求：因为真正消耗你的，不只是做事，而是持续判断：哪个更急，哪个更重要，哪个有风险，哪个要先回，哪个可以晚点。；待办：写下：；今日唯一案件动作：___；对应风险：___","6","通过","","../rendered_articles/问题099_为什么青年律师最需要的不是自律而是一个外部前额叶_你缺的不是努力是案件任务和情绪同时排队的调度系统.html"
"100","为什么法学生写不出论文，不是因为懒，而是启动系统坏了？你缺的不是资料，是从巨大题目进入第一段的坡道","822","最后你的脑子里不是没有观点，而是观点太吵。 | 第二，你卡住的不是全文，而是第一段、第一节、第一句。 | 格式： 我研究的不是___，而是___。","痛点：法学生最容易掉进“资料型拖延”。；需求：你需要的不是更多资料，而是一条从巨大题目通向第一段文字的坡道。；待办：我研究的不是___，而是___。；这个问题之所以重要，是因为___。；第一个可以打开它的案例/现象是___。","6","通过","","../rendered_articles/问题100_为什么法学生写不出论文不是因为懒而是启动系统坏了_你缺的不是资料是从巨大题目进入第一段的坡道.html"
"101","为什么实习律师最容易死在“我先整理一下资料”？你不是在准备，是把启动伪装成秩序","898","但法律工作真正值钱的部分不是资料摆放，而是判断。 | 第二，很多时候合伙人真正要的不是你“看完所有资料”，而是你先提出一个可讨论的初步判断。 | 法律工作的第一步不是把世界摆整齐，而是带着一个问题，把混乱材料切开。","痛点：实习律师为什么最容易掉进这个坑？；需求：第二，很多时候合伙人真正要的不是你“看完所有资料”，而是你先提出一个可讨论的初步判断。；待办：我要回答的问题：___；初步猜测的答案：___；我只找能推翻或支持这个猜测的资料：___","6","通过","","../rendered_articles/问题101_为什么实习律师最容易死在我先整理一下资料_你不是在准备是把启动伪装成秩序.html"
"102","为什么律师的微信已读不回，本质是决策瘫痪？你不是冷漠，是每条消息都携带隐形法律后果","891","最后你不是在处理消息，而是在处理“我怎么又没回”的自我攻击。 | 第一，你最容易已读不回的，往往不是垃圾消息，而是重要消息。 | 说明问题不是不愿意，而是回复结构没生成。","痛点：第一，你最容易已读不回的，往往不是垃圾消息，而是重要消息。；需求：说明问题不是不愿意，而是回复结构没生成。；待办：收到但未判断：___；需要补资料：___；只能初步判断：___","6","通过","","../rendered_articles/问题102_为什么律师的微信已读不回本质是决策瘫痪_你不是冷漠是每条消息都携带隐形法律后果.html"
"103","为什么法律人最该训练的不是专注力，而是切换力？你的一天不是深度工作，而是高频上下文迁移","842","很多法律人的崩溃，不是因为单件事太难，而是因为切换没有存档。 | 第一，你被打断后最难的不是回到电脑前，而是回到刚才的判断现场。 | 法律人不是不需要专注，而是不能只迷信专注。","痛点：很多法律人的崩溃，不是因为单件事太难，而是因为切换没有存档。；需求：第一，你被打断后最难的不是回到电脑前，而是回到刚才的判断现场。；待办：任务 A 回来先做：___；任务 B 回来先做：___；任务 C 回来先做：___","6","通过","","../rendered_articles/问题103_为什么法律人最该训练的不是专注力而是切换力_你的一天不是深度工作而是高频上下文迁移.html"
"104","为什么青年律师的焦虑，其实是大脑在做风险尽调？你不是想太多，是没有把风险从情绪翻译成清单","1046","青年律师真正要训练的，不是消灭焦虑，而是把焦虑从雾翻译成表。 | 第一，你焦虑的地方往往不是随机的，而是集中在责任、期限、证据、结论和沟通边界上。 | 不是因为风险没了，而是风险变得可处理。","痛点：它不像清单一样说“请核查第 3 条”，它会说“完了，你是不是要出事”。；需求：青年律师真正要训练的，不是消灭焦虑，而是把焦虑从雾翻译成表。；待办：事实风险：___；法律风险：___；程序风险：___","6","通过","","../rendered_articles/问题104_为什么青年律师的焦虑其实是大脑在做风险尽调_你不是想太多是没有把风险从情绪翻译成清单.html"
"105","为什么法律人的知识管理越做越复杂，反而越不产出？你不是缺库，是把搭系统误认为办案和写作","858","但半年后你可能发现：库很大，文章没写几篇；标签很多，真正办案时还是重新搜；模板齐全，交付仍然卡住。 | 可真正的专业能力，不在库里，而在调用库解决问题的速度和质量里。 | 第一，你收藏过很多资料，但真正用时仍然找不到。","痛点：但半年后你可能发现：库很大，文章没写几篇；标签很多，真正办案时还是重新搜；模板齐全，交付仍然卡住。；需求：真正稀缺的是从资料到判断、从判断到文本、从文本到交付的链路。；待办：选一个真实问题，限时 20 分钟，用现有系统产出一段判断或一份清单。；如果找不到、用不上、写不出，就不要继续加标签。先修调用路径。；法律人不缺资料。互联网时代，资料多到窒息。真正稀缺的...","6","通过","","../rendered_articles/问题105_为什么法律人的知识管理越做越复杂反而越不产出_你不是缺库是把搭系统误认为办案和写作.html"
"106","为什么AI Agent是青年律师从助理到主理人的认知外骨骼？它不是替你做律师，而是放大你的判断半径","893","02 Agent 对青年律师最有价值的不是生成答案，而是生成工作台。 | 第一，青年律师最耗时的常常不是最终写作，而是从混乱信息里建立结构。 | 青年律师真正的成长，不是永远当一个更快的执行者，而是逐渐拥有定义问题和组织交付的能力。","痛点：青年律师最难的跃迁，不是从不会干到会干。；需求：Agent 对青年律师最有价值的不是生成答案，而是生成工作台。；待办：让它输出：；关键问题。；交付格式。","6","通过","","../rendered_articles/问题106_为什么AI_Agent是青年律师从助理到主理人的认知外骨骼_它不是替你做律师而是放大你的判断半径.html"
"107","为什么法学生需要“今日唯一动作”，而不是一张完美学习计划？你不是不想学，是被整个人生计划压到无法翻页","1013","不是因为你不想学，而是因为这张计划在启动瞬间，把整个人生都压到了今天。 | 你不是被任务打倒，而是被任务总量打倒。 | 法学生最需要的不是更大计划，而是今日唯一动作。","痛点：对 ADHD、高压法学生或长期焦虑型学习者来说，这可能叫窒息。；需求：说明你缺的不是愿望，而是可进入的动作。；待办：今日唯一动作：___；完成证据：___；最晚完成时间：___","6","通过","","../rendered_articles/问题107_为什么法学生需要今日唯一动作而不是一张完美学习计划_你不是不想学是被整个人生计划压到无法翻页.html"
"108","为什么律师成长最危险的不是不会学，而是不会卸载？你不是知识不够，是旧任务、旧身份、旧焦虑占满了系统","1041","很多律师不是知识不够，而是没有给新知识留出可调用空间。 | 你不是没有新方向，而是旧身份没有下线。 | 不是因为你突然变强，而是系统终于释放了带宽。","痛点：你明明已经不想只做传统法律内容，却还被旧粉丝、旧路径、旧安全感拉住。；需求：很多律师不是知识不够，而是没有给新知识留出可调用空间。；待办：写下三类：；我不再维护的知识库：___；我不再追逐的评价标准：___","6","通过","","../rendered_articles/问题108_为什么律师成长最危险的不是不会学而是不会卸载_你不是知识不够是旧任务旧身份旧焦虑占满了系统.html"
"109","为什么 ADHD x AI 博主最稀缺的位置不是老师而是制图者？你的价值不是教人用工具，而是画出地形","1228","因为真正的问题不是没有工具，而是不知道在自己的症状、能量、任务和人生阶段里，哪条路能走。 | 所以 ADHD x AI 博主最稀缺的位置，不是老师，而是制图者。 | 这五个问题一出现，你就不是在写教程，而是在给读者导航。","痛点：生活场景证据：一个 ADHD 用户打开工具清单，看到一百个 AI 应用，只会更焦虑。；需求：公众号版核心标题：ADHD x AI 博主最稀缺的位置不是老师，而是制图者 小红书版钩子：别再收藏 AI 工具清单了，你需要...；待办：每个选题写作前先填四行：；- 公众号版核心标题：ADHD x AI 博主最稀缺的位置不是老师，而是制图者；- 小红书版钩子：别再收藏 AI 工具清单了，你需要的是一张 ADHD 地图。","7","通过","","../rendered_articles/问题109_为什么ADHDxAI博主最稀缺的位置不是老师而是制图者_你的价值不是教人用工具而是画出地形.html"
"110","为什么 AI 内容越同质化，ADHD 创作者越应该保留不完美？真实痕迹是算法时代的信任资产","1299","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：AI内容越顺滑越像流水线，读者看完没有信任感。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：真实痕迹是算法时代的信任资产 小红书版钩子：AI内容越顺滑越像流水线，读者看完没有信任感 知乎回答问题：为什么 同质化AI内...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题110_为什么AI内容越同质化ADHD创作者越应该保留不完美真实痕迹是算法时代的信任资产.html"
"111","为什么 ADHD 做内容不该追热点，而要做危险区域标注员？别人封神时你负责标雷","1129","ADHD 用户最怕的不是工具不好，而是工具太会制造希望。 | 个人观察：很多 AI 内容的问题，不是骗人，而是只讲高能量状态下的成功截图。 | 公众号版核心标题：ADHD 做内容不该追热点，而要做危险区域标注员 小红书版钩子：这个 AI 工具很好，但可能不适合 ADHD。","痛点：格式： 最适合的人： 最容易反噬的人： 最大认知负担： 低电量是否可用： 替代手动入口： 这张卡片会比普通教程更有价值。；需求：ADHD 用户最怕的不是工具不好，而是工具太会制造希望。；待办：- 最适合的人：；- 最容易反噬的人：；- 最大认知负担：","6","通过","","../rendered_articles/问题111_为什么ADHD做内容不该追热点而要做危险区域标注员_别人封神时你负责标雷.html"
"112","为什么双A博主的护城河不是粉丝数，而是工具实测数据库？你的每次失败都是地图坐标","1281","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：粉丝数容易波动，工具教程容易被复制。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你的每次失败都是地图坐标 小红书版钩子：粉丝数容易波动，工具教程容易被复制 知乎回答问题：为什么 工具实测数据库 对 ADH...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题112_为什么双A博主的护城河不是粉丝数而是工具实测数据库你的每次失败都是地图坐标.html"
"113","为什么外包日记比 AI 教程更适合 ADHD 个人品牌？用户想看你怎么把脑子接上系统","1274","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：教程太通用，读者不知道真实痛苦如何接入AI。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：用户想看你怎么把脑子接上系统 小红书版钩子：教程太通用，读者不知道真实痛苦如何接入AI 知乎回答问题：为什么 外包日记 对 ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题113_为什么外包日记比AI教程更适合ADHD个人品牌用户想看你怎么把脑子接上系统.html"
"114","为什么 ADHD 创作者要从说的人升级成绘图的人？情绪共鸣不够，还要给路","1275","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：共鸣内容让人点头，但爽完以后仍然不知道怎么走。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：情绪共鸣不够，还要给路 小红书版钩子：共鸣内容让人点头，但爽完以后仍然不知道怎么走 知乎回答问题：为什么 路径图表达 对 A...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题114_为什么ADHD创作者要从说的人升级成绘图的人情绪共鸣不够还要给路.html"
